State	Organization	URL	
National	Access Fund	https://www.accessfund.org	
National	Ducks Unlimited	https://www.ducks.org	
National	Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	
National	The Conservation Fund	https://www.conservationfund.org	
National	Sustainable Conservation (affiliate)	https://suscon.org	
National	The Nature Conservancy	https://www.nature.org	
National	The Trust for Public Land	https://www.tpl.org	
National	The Wilderness Land Trust	https://wildernesslandtrust.org	
Alabama	Freshwater Land Trust	https://www.freshwaterlandtrust.org	
Alabama	Land Trust of North Alabama	https://www.landtrustnal.org	
Alabama	Weeks Bay Foundation	https://weeksbay.org	
Alaska	Great Land Trust	https://greatlandtrust.org	
Alaska	Interior Alaska Land Trust	https://interioraklandtrust.org	
Alaska	Kachemak Heritage Land Trust	https://kachemaklandtrust.org	
Alaska	Southeast Alaska Land Trust	https://sealt.org	
Arizona	Arizona Land and Water Trust	https://alwt.org	
Arizona	Central Arizona Land Trust	https://www.centralazlandtrust.org	
Arizona	Desert Foothills Land Trust	https://dflandtrust.org	
Arkansas	Northwest Arkansas Land Trust	https://www.nwalandtrust.org	
California	Bear Yuba Land Trust	https://bylt.org	
California	Big Sur Land Trust	https://bigsurlandtrust.org	
California	California Farmland Trust	https://cafarmtrust.org	
California	California Rangeland Trust	https://rangelandtrust.org	
California	Cayucos Land Conservancy	https://cayucoslandconservancy.org	
Colorado	Aspen Valley Land Trust	https://www.avlt.org	
Colorado	Black Canyon Regional Land Trust	https://bcrlt.org	
Colorado	Central Colorado Conservancy	https://centralcoloradoconservancy.org	
Colorado	Colorado Cattlemen’s Agricultural Land Trust	https://ccalt.org	
Colorado	Colorado Headwaters Land Trust	https://headwaterslandtrust.org	
Connecticut	Avalonia Land Conservancy	https://avalonialandconservancy.org	
Connecticut	Branford Land Trust	https://branfordlandtrust.org	
Connecticut	Candlewood Valley Regional Land Trust	https://candlewoodvalleylandtrust.org	
Connecticut	Colchester Land Trust	https://colchesterlandtrust.org	
Connecticut	Connecticut Farmland Trust	https://ctfarmland.org	
Florida	Alachua Conservation Trust	https://www.alachuaconservationtrust.org	
Florida	Conservation Florida	https://conservationfla.org	
Florida	Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com	
Florida	North Florida Land Trust	https://www.nflt.org	
Florida	Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	
Florida	Tampa Bay Conservancy	https://tampabayconservancy.org	
Georgia	Athens Land Trust	https://athenslandtrust.org	
Georgia	Central Savannah River Land Trust	https://csrlt.org	
Georgia	Chattooga Conservancy	https://chattoogaconservancy.org	
Georgia	Georgia-Alabama Land Trust	https://galandtrust.org	
Georgia	Georgia Piedmont Land Trust	https://gplandtrust.org	
Georgia	Mountain Conservation Trust of Georgia	https://mctga.org	
Georgia	Ocmulgee Land Trust	https://ocmulgeelandtrust.com	
Georgia	St. Simons Land Trust	https://sslt.org	
Hawaii	Hawaiian Islands Land Trust	https://hilt.org	
Idaho	Kaniksu Land Trust	https://kaniksu.org	
Idaho	Land Trust of the Treasure Valley	https://www.lttv.org	
Idaho	Lemhi Regional Land Trust	https://lemhilandtrust.org	
Idaho	Palouse Land Trust	https://palouselandtrust.org	
Idaho	Sagebrush Steppe Land Trust	https://www.sagebrushlandtrust.org	
Idaho	Teton Regional Land Trust	https://tetonlandtrust.org	
Idaho	Wood River Land Trust	https://www.woodriverlandtrust.org	
Illinois	Jo Daviess Conservation Foundation	https://www.jdcf.org	
Illinois	Lake Forest Open Lands Association	https://www.lfola.org	
Illinois	Natural Land Institute	https://www.naturalland.org	
Illinois	Openlands	https://www.openlands.org	
Illinois	Prairie Land Conservancy	https://www.prairielandconservancy.org	
Illinois	The Conservation Foundation	https://www.theconservationfoundation.org	
Illinois	The Land Conservancy of McHenry County	https://conservemc.org	
Indiana	Central Indiana Land Trust	https://www.conservingindiana.org	
Indiana	NICHES Land Trust	https://www.nicheslandtrust.org	
Indiana	Shirley Heinze Land Trust	https://www.heinzetrust.org	
Indiana	Sycamore Land Trust	https://sycamorelandtrust.org	
Iowa	Bur Oak Land Trust	https://buroaklandtrust.org	
Iowa	Iowa Natural Heritage Foundation	https://www.inhf.org	
Kansas	Kansas Land Trust	https://www.klt.org	
Kansas	Ranchland Trust of Kansas	https://www.ranchlandtrustofkansas.org	
Kentucky	Bluegrass Land Conservancy	https://www.bluegrasslandconservancy.org	
Kentucky	Kentucky Natural Lands Trust	https://knlt.org	
Kentucky	Louisville & Jefferson County Environmental Trust	https://louisvilleky.gov/government/advanced-planning/land-trust	
Kentucky	River Fields	https://www.riverfields.org	
Kentucky	Woods and Waters Land Trust	https://woodsandwaterslandtrust.org	
Louisiana	Land Trust for Louisiana	https://www.landtrustforlouisiana.org	
Maine	Androscoggin Land Trust	https://androscogginlandtrust.org	
Maine	Bangor Land Trust	https://www.bangorlandtrust.org	
Maine	Blue Hill Heritage Trust	https://www.bluehillheritagetrust.org	
Maine	Boothbay Region Land Trust	https://bbrlt.org	
Maine	Brunswick-Topsham Land Trust	https://www.btlt.org	
Maine	Cape Elizabeth Land Trust	https://www.capelandtrust.org	
Maine	Chebeague & Cumberland Land Trust	https://www.ccltmaine.org	
Maine	Coastal Mountains Land Trust	https://www.coastalmountains.org	
Maine	Coastal Rivers Conservation Trust	https://www.coastalrivers.org	
Maine	Downeast Coastal Conservancy	https://www.downeastcoastalconservancy.org	
Maine	Forest Society of Maine	https://www.fsmaine.org	
Maine	Frenchman Bay Conservancy	https://www.frenchmanbay.org	
Maine	Georges River Land Trust	https://www.georgesriver.org	
Maine	Great Pond Mountain Conservation Trust	https://greatpondtrust.org	
Maine	Harpswell Heritage Land Trust	https://hhltmaine.org	
Maine	Kennebec Estuary Land Trust	https://www.kennebecestuary.org	
Maine	Kennebec Land Trust	https://www.tklt.org	
Maine	Loon Echo Land Trust	https://www.loonecholandtrust.org	
Maine	Mahoosuc Land Trust	https://www.mahoosuc.org	
Maine	Maine Coast Heritage Trust	https://www.mcht.org	
Maine	Maine Farmland Trust	https://www.mainefarmlandtrust.org	
Maine	Midcoast Conservancy	https://www.midcoastconservancy.org	
Maine	Oceanside Conservation Trust of Casco Bay	https://oceansidect.org	
Maine	Orono Land Trust	https://oronolandtrust.org	
Maine	Rangeley Lakes Heritage Trust	https://rlht.org	
Maine	Three Rivers Land Trust	https://3rlt.org	
Maine	Vinalhaven Land Trust	https://vinalhavenlandtrust.org	
Maryland	American Chestnut Land Trust	https://www.acltweb.org	
Maryland	Eastern Shore Land Conservancy	https://www.eslc.org	
Maryland	Lower Shore Land Trust	https://lowershorelandtrust.org	
Maryland	Potomac Conservancy	https://www.potomac.org	
Maryland	Scenic Rivers Land Trust	https://www.srlt.org	
Massachusetts	Ashburnham Conservation Trust	https://ashburnhamconservationtrust.org	
Massachusetts	Ashby Land Trust	https://ashbylandtrust.org	
Massachusetts	Buzzards Bay Coalition	https://www.savebuzzardsbay.org	
Massachusetts	Dartmouth Natural Resources Trust	https://dnrt.org	
Massachusetts	Groton Conservation Trust	https://www.gctrust.org	
Massachusetts	Kestrel Land Trust	https://www.kestreltrust.org	
Massachusetts	Lowell Parks and Conservation Trust	https://lowelllandtrust.org	
Massachusetts	Massachusetts Audubon Society	https://www.massaudubon.org	
Massachusetts	Mount Grace Land Conservation Trust	https://www.mountgrace.org	
Massachusetts	Sheriff’s Meadow Foundation	https://sheriffsmeadow.org	
Massachusetts	Sudbury Valley Trustees	https://www.svtweb.org	
Massachusetts	The Trustees of Reservations	https://thetrustees.org	
Massachusetts	Wareham Land Trust	https://warehamlandtrust.org	
Michigan	Chikaming Open Lands	https://chikamingopenlands.org	
Michigan	Chippewa Watershed Conservancy	https://www.chippewawatershedconservancy.org	
Michigan	Grand Traverse Regional Land Conservancy	https://www.gtrlc.org	
Michigan	Keweenaw Land Trust	https://www.keweenawlandtrust.org	
Michigan	Land Conservancy of West Michigan	https://naturenearby.org	
Michigan	Leelanau Conservancy	https://leelanauconservancy.org	
Michigan	Legacy Land Conservancy	https://legacylandconservancy.org	
Michigan	Little Forks Conservancy	https://littleforks.org	
Michigan	Michigan Nature Association	https://michigannature.org	
Michigan	North Oakland Headwaters Land Conservancy	https://nohlc.org	
Michigan	Saginaw Basin Land Conservancy	https://www.sblc-mi.org	
Michigan	Six Rivers Land Conservancy	https://sixriversrlc.org	
Michigan	Southwest Michigan Land Conservancy	https://swmlc.org	
Michigan	Upper Peninsula Land Conservancy	https://uplc.org	
Ohio	Black Swamp Conservancy	https://www.blackswamp.org/	
Ohio	Cardinal Land Conservancy	https://cardinallandtrust.org/	
Ohio	Gates Mills Land Conservancy	https://www.gatesmillslandtrust.org/	
Ohio	Licking Land Trust	https://www.lickinglandtrust.org/	
Ohio	Tecumseh Land Trust	https://tecumsehlandtrust.org/	
Ohio	Western Reserve Land Conservancy	https://www.wrlandconservancy.org/	
Oregon	Deschutes Land Trust	https://www.deschuteslandtrust.org/	
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/	
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/	
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/	
Oregon	North Coast Land Conservancy	https://nclctrust.org/	
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/	
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/	
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/	
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/	
Oregon	Wild Rivers Land Trust	https://www.wildriverslandtrust.org/	
Pennsylvania	Allegheny Land Trust	https://alleghenylandtrust.org/	
Pennsylvania	Brandywine Conservancy & Museum of Art	https://www.brandywine.org/conservancy	
Pennsylvania	Central Pennsylvania Conservancy	https://www.centralpaconservancy.org/	
Pennsylvania	Chestnut Hill Conservancy	https://chconservancy.org/	
Pennsylvania	ClearWater Conservancy	https://www.clearwaterconservancy.org/	
Pennsylvania	Countryside Conservancy	https://countrysideconservancy.org/	
Pennsylvania	Delaware Highlands Conservancy	https://delawarehighlands.org/	
Pennsylvania	French and Pickering Creeks Conservation Trust	https://frenchandpickering.org/	
Pennsylvania	French Creek Valley Conservancy	https://fcvc.org/	
Pennsylvania	Heritage Conservancy	https://heritageconservancy.org/	
Pennsylvania	Hollow Oak Land Trust	https://hollowoak.org/	
Pennsylvania	Lancaster Conservancy	https://www.lancasterconservancy.org/	
Pennsylvania	Lancaster Farmland Trust	https://lancasterfarmlandtrust.org/	
Pennsylvania	Land Conservancy of Adams County	https://www.lcacnet.org/	
Pennsylvania	Land Trust of Bucks County	https://landtrustbuckscounty.org/	
Pennsylvania	Natural Lands	https://natlands.org/	
Pennsylvania	North Branch Land Trust	https://northbranchlandtrust.org/	
Pennsylvania	The Land Conservancy for Southern Chester County	https://tlcforscc.org/	
Pennsylvania	Tinicum Conservancy	https://tinicumconservancy.org/	
Pennsylvania	Western Pennsylvania Conservancy	https://waterlandlife.org/	
Pennsylvania	Westmoreland Conservancy	https://westmoreland-landtrust.org/	
Pennsylvania	Wildlands Conservancy	https://www.wildlandspa.org/	
Pennsylvania	Willistown Conservation Trust	https://wctrust.org/	
Rhode Island	Aquidneck Land Trust	https://ailt.org/	
Rhode Island	Block Island Conservancy	https://biconservancy.org/	
Rhode Island	Block Island Land Trust	https://blockislandlandtrust.org/	
Rhode Island	Conanicut Island Land Trust	https://conanicutlandtrust.org/	
Rhode Island	Middletown Valley Land Trust	https://middletownvalleylandtrust.org/	
Rhode Island	Nature Conservancy of Rhode Island	https://www.nature.org/en-us/about-us/where-we-work/united-states/rhode-island/	
Rhode Island	Sakonnet Preservation Association	https://sakonnetpreservation.org/	
Rhode Island	South Kingstown Land Trust	https://sklt.org/	
Rhode Island	Tiverton Land Trust	https://tivertonlandtrust.org/	
South Carolina	Beaufort County Open Land Trust	https://openlandtrust.org/	
South Carolina	Charleston County Land Trust	https://charlestonlandtrust.org/	
South Carolina	Congaree Land Trust	https://congareelt.org/	
South Carolina	Lowcountry Land Trust	https://lowcountrylandtrust.org/	
South Carolina	Upstate Forever	https://www.upstateforever.org/	
South Dakota	Northern Prairies Land Trust	https://gfp.sd.gov/northern-prairies-land-trust/	
Tennessee	French Broad River Partnership	https://fbriver.org/	
Tennessee	Land Trust for Tennessee	https://www.landtrusttn.org/	
Tennessee	Tennessee Parks and Greenways Foundation	https://tenngreen.org/	
Texas	Bayou Land Conservancy	https://bayoulandconservancy.org/	
Texas	Cactus Pine Land Trust	https://cactuspine.org/	
Texas	Hill Country Conservancy	https://hillcountryconservancy.org/	
Texas	Texas Land Conservancy	https://www.texaslandconservancy.org/	
Texas	Texas Agricultural Land Trust	https://www.txaglandtrust.org/	
Texas	Texas Land Trust Council	https://texaslandtrustcouncil.org/	
Utah	Moab Land Trust	https://moablandtrust.org/	
Utah	Summit Land Conservancy	https://wesaveland.org/	
Utah	Wild Utah Project	https://wildutahproject.org/	
Vermont	Catamount Trail Association	https://catamounttrail.org/	
Vermont	Land Trust of Vermont	https://vlt.org/	
Vermont	Mount Holly Conservation Trust	https://mhct.org/	
Vermont	New England Forestry Foundation Vermont	https://newenglandforestry.org/	
Vermont	Stowe Land Trust	https://www.stowelandtrust.org/	
Vermont	Woodstock Land Trust	https://woodstocklandtrust.org/	
Virginia	Blue Ridge Land Conservancy	https://brlcva.org/	
Virginia	Eastern Shore Land Trust	https://eslandtrust.org/	
Virginia	Land Trust of Virginia	https://landtrustva.org/	
Virginia	Piedmont Environmental Council	https://www.pecva.org/	
Virginia	Valley Conservation Council	https://valleyconservation.org/	
Virginia	Virginia Eastern Shore Land Trust	https://eslandtrust.org/	
Washington	Cascade Land Conservancy (Forterra)	https://forterra.org/	
Washington	Columbia Land Trust	https://www.columbialandtrust.org/	
Washington	Jefferson Land Trust	https://saveland.org/	
Washington	North Olympic Land Trust	https://northolympiclandtrust.org/	
Washington	Skagit Land Trust	https://www.skagitlandtrust.org/	
Washington	Whidbey Camano Land Trust	https://www.wclt.org/	
Washington	Whatcom Land Trust	https://whatcomlandtrust.org/	
West Virginia	Coal River Mountain Watch	https://crmw.net/	
West Virginia	West Virginia Land Trust	https://wvlandtrust.org/	
Wisconsin	Driftless Area Land Conservancy	https://driftlessconservancy.org/	
Wisconsin	Gathering Waters	https://gatheringwaters.org/	
Wisconsin	Landmark Conservancy	https://landmarkwi.org/	
Wisconsin	Mississippi Valley Conservancy	https://mississippivalleyconservancy.org/	
Wisconsin	Northwoods Land Trust	https://northwoodslandtrust.org/	
Wisconsin	Ozaukee Washington Land Trust	https://owlt.org/	
Wisconsin	Tall Pines Conservancy	https://tallpinesconservancy.org/	
Wisconsin	The Ridges Sanctuary	https://ridgessanctuary.org/	
Wisconsin	Kettle Moraine Land Trust	https://kmlandtrust.org/	
Wisconsin	Glacial Lakes Conservancy	https://www.glaciallakes.org/	
Wyoming	Jackson Hole Land Trust	https://jhlandtrust.org/	
Wyoming	Johnson County Land Trust	https://johnsoncountylandtrust.org/	
Wyoming	Monteith Ranch Land Trust	https://monteithranchlandtrust.org/	
Wyoming	Rattlesnake Hills Land Trust	https://rattlesnakehillslandtrust.org/	
Wyoming	The Nature Conservancy of Wyoming	https://www.nature.org/en-us/about-us/where-we-work/united-states/wyoming/	