State,Organization,URL
"
National
","
Access Fund
","
https://www.accessfund.org
"
"
National
","
Ducks Unlimited
","
https://www.ducks.org
"
"
National
","
Wetlands America Trust (affiliate)
","
https://www.ducks.org/conservation/wetlands-america-trust
"
"
National
","
The Conservation Fund
","
https://www.conservationfund.org
"
"
National
","
Sustainable Conservation (affiliate)
","
https://suscon.org
"
"
National
","
The Nature Conservancy
","
https://www.nature.org
"
"
National
","
The Trust for Public Land
","
https://www.tpl.org
"
"
National
","
The Wilderness Land Trust
","
https://wildernesslandtrust.org
"
"
Alabama
","
Freshwater Land Trust
","
https://www.freshwaterlandtrust.org
"
"
Alabama
","
Land Trust of North Alabama
","
https://www.landtrustnal.org
"
"
Alabama
","
Weeks Bay Foundation
","
https://weeksbay.org
"
"
Alaska
","
Great Land Trust
","
https://greatlandtrust.org
"
"
Alaska
","
Interior Alaska Land Trust
","
https://interioraklandtrust.org
"
"
Alaska
","
Kachemak Heritage Land Trust
","
https://kachemaklandtrust.org
"
"
Alaska
","
Southeast Alaska Land Trust
","
https://sealt.org
"
"
Arizona
","
Arizona Land and Water Trust
","
https://alwt.org
"
"
Arizona
","
Central Arizona Land Trust
","
https://www.centralazlandtrust.org
"
"
Arizona
","
Desert Foothills Land Trust
","
https://dflandtrust.org
"
"
Arkansas
","
Northwest Arkansas Land Trust
","
https://www.nwalandtrust.org
"
"
California
","
Bear Yuba Land Trust
","
https://bylt.org
"
"
California
","
Big Sur Land Trust
","
https://bigsurlandtrust.org
"
"
California
","
California Farmland Trust
","
https://cafarmtrust.org
"
"
California
","
California Rangeland Trust
","
https://rangelandtrust.org
"
"
California
","
Cayucos Land Conservancy
","
https://cayucoslandconservancy.org
"
"
Colorado
","
Aspen Valley Land Trust
","
https://www.avlt.org
"
"
Colorado
","
Black Canyon Regional Land Trust
","
https://bcrlt.org
"
"
Colorado
","
Central Colorado Conservancy
","
https://centralcoloradoconservancy.org
"
"
Colorado
","
Colorado Cattlemen’s Agricultural Land Trust
","
https://ccalt.org
"
"
Colorado
","
Colorado Headwaters Land Trust
","
https://headwaterslandtrust.org
"
"
Connecticut
","
Avalonia Land Conservancy
","
https://avalonialandconservancy.org
"
"
Connecticut
","
Branford Land Trust
","
https://branfordlandtrust.org
"
"
Connecticut
","
Candlewood Valley Regional Land Trust
","
https://candlewoodvalleylandtrust.org
"
"
Connecticut
","
Colchester Land Trust
","
https://colchesterlandtrust.org
"
"
Connecticut
","
Connecticut Farmland Trust
","
https://ctfarmland.org
"
"
Florida
","
Alachua Conservation Trust
","
https://www.alachuaconservationtrust.org
"
"
Florida
","
Conservation Florida
","
https://conservationfla.org
"
"
Florida
","
Conservation Foundation of the Gulf Coast
","
https://www.conservationfoundation.com
"
"
Florida
","
North Florida Land Trust
","
https://www.nflt.org
"
"
Florida
","
Tall Timbers Research Station & Land Conservancy
","
https://talltimbers.org
"
"
Florida
","
Tampa Bay Conservancy
","
https://tampabayconservancy.org
"
"
Georgia
","
Athens Land Trust
","
https://athenslandtrust.org
"
"
Georgia
","
Central Savannah River Land Trust
","
https://csrlt.org
"
"
Georgia
","
Chattooga Conservancy
","
https://chattoogaconservancy.org
"
"
Georgia
","
Georgia-Alabama Land Trust
","
https://galandtrust.org
"
"
Georgia
","
Georgia Piedmont Land Trust
","
https://gplandtrust.org
"
"
Georgia
","
Mountain Conservation Trust of Georgia
","
https://mctga.org
"
"
Georgia
","
Ocmulgee Land Trust
","
https://ocmulgeelandtrust.com
"
"
Georgia
","
St. Simons Land Trust
","
https://sslt.org
"
"
Hawaii
","
Hawaiian Islands Land Trust
","
https://hilt.org
"
"
Idaho
","
Kaniksu Land Trust
","
https://kaniksu.org
"
"
Idaho
","
Land Trust of the Treasure Valley
","
https://www.lttv.org
"
"
Idaho
","
Lemhi Regional Land Trust
","
https://lemhilandtrust.org
"
"
Idaho
","
Palouse Land Trust
","
https://palouselandtrust.org
"
"
Idaho
","
Sagebrush Steppe Land Trust
","
https://www.sagebrushlandtrust.org
"
"
Idaho
","
Teton Regional Land Trust
","
https://tetonlandtrust.org
"
"
Idaho
","
Wood River Land Trust
","
https://www.woodriverlandtrust.org
"
"
Illinois
","
Jo Daviess Conservation Foundation
","
https://www.jdcf.org
"
"
Illinois
","
Lake Forest Open Lands Association
","
https://www.lfola.org
"
"
Illinois
","
Natural Land Institute
","
https://www.naturalland.org
"
"
Illinois
","
Openlands
","
https://www.openlands.org
"
"
Illinois
","
Prairie Land Conservancy
","
https://www.prairielandconservancy.org
"
"
Illinois
","
The Conservation Foundation
","
https://www.theconservationfoundation.org
"
"
Illinois
","
The Land Conservancy of McHenry County
","
https://conservemc.org
"
"
Indiana
","
Central Indiana Land Trust
","
https://www.conservingindiana.org
"
"
Indiana
","
NICHES Land Trust
","
https://www.nicheslandtrust.org
"
"
Indiana
","
Shirley Heinze Land Trust
","
https://www.heinzetrust.org
"
"
Indiana
","
Sycamore Land Trust
","
https://sycamorelandtrust.org
"
"
Iowa
","
Bur Oak Land Trust
","
https://buroaklandtrust.org
"
"
Iowa
","
Iowa Natural Heritage Foundation
","
https://www.inhf.org
"
"
Kansas
","
Kansas Land Trust
","
https://www.klt.org
"
"
Kansas
","
Ranchland Trust of Kansas
","
https://www.ranchlandtrustofkansas.org
"
"
Kentucky
","
Bluegrass Land Conservancy
","
https://www.bluegrasslandconservancy.org
"
"
Kentucky
","
Kentucky Natural Lands Trust
","
https://knlt.org
"
"
Kentucky
","
Louisville & Jefferson County Environmental Trust
","
https://louisvilleky.gov/government/advanced-planning/land-trust
"
"
Kentucky
","
River Fields
","
https://www.riverfields.org
"
"
Kentucky
","
Woods and Waters Land Trust
","
https://woodsandwaterslandtrust.org
"
"
Louisiana
","
Land Trust for Louisiana
","
https://www.landtrustforlouisiana.org
"
"
Maine
","
Androscoggin Land Trust
","
https://androscogginlandtrust.org
"
"
Maine
","
Bangor Land Trust
","
https://www.bangorlandtrust.org
"
"
Maine
","
Blue Hill Heritage Trust
","
https://www.bluehillheritagetrust.org
"
"
Maine
","
Boothbay Region Land Trust
","
https://bbrlt.org
"
"
Maine
","
Brunswick-Topsham Land Trust
","
https://www.btlt.org
"
"
Maine
","
Cape Elizabeth Land Trust
","
https://www.capelandtrust.org
"
"
Maine
","
Chebeague & Cumberland Land Trust
","
https://www.ccltmaine.org
"
"
Maine
","
Coastal Mountains Land Trust
","
https://www.coastalmountains.org
"
"
Maine
","
Coastal Rivers Conservation Trust
","
https://www.coastalrivers.org
"
"
Maine
","
Downeast Coastal Conservancy
","
https://www.downeastcoastalconservancy.org
"
"
Maine
","
Forest Society of Maine
","
https://www.fsmaine.org
"
"
Maine
","
Frenchman Bay Conservancy
","
https://www.frenchmanbay.org
"
"
Maine
","
Georges River Land Trust
","
https://www.georgesriver.org
"
"
Maine
","
Great Pond Mountain Conservation Trust
","
https://greatpondtrust.org
"
"
Maine
","
Harpswell Heritage Land Trust
","
https://hhltmaine.org
"
"
Maine
","
Kennebec Estuary Land Trust
","
https://www.kennebecestuary.org
"
"
Maine
","
Kennebec Land Trust
","
https://www.tklt.org
"
"
Maine
","
Loon Echo Land Trust
","
https://www.loonecholandtrust.org
"
"
Maine
","
Mahoosuc Land Trust
","
https://www.mahoosuc.org
"
"
Maine
","
Maine Coast Heritage Trust
","
https://www.mcht.org
"
"
Maine
","
Maine Farmland Trust
","
https://www.mainefarmlandtrust.org
"
"
Maine
","
Midcoast Conservancy
","
https://www.midcoastconservancy.org
"
"
Maine
","
Oceanside Conservation Trust of Casco Bay
","
https://oceansidect.org
"
"
Maine
","
Orono Land Trust
","
https://oronolandtrust.org
"
"
Maine
","
Rangeley Lakes Heritage Trust
","
https://rlht.org
"
"
Maine
","
Three Rivers Land Trust
","
https://3rlt.org
"
"
Maine
","
Vinalhaven Land Trust
","
https://vinalhavenlandtrust.org
"
"
Maryland
","
American Chestnut Land Trust
","
https://www.acltweb.org
"
"
Maryland
","
Eastern Shore Land Conservancy
","
https://www.eslc.org
"
"
Maryland
","
Lower Shore Land Trust
","
https://lowershorelandtrust.org
"
"
Maryland
","
Potomac Conservancy
","
https://www.potomac.org
"
"
Maryland
","
Scenic Rivers Land Trust
","
https://www.srlt.org
"
"
Massachusetts
","
Ashburnham Conservation Trust
","
https://ashburnhamconservationtrust.org
"
"
Massachusetts
","
Ashby Land Trust
","
https://ashbylandtrust.org
"
"
Massachusetts
","
Buzzards Bay Coalition
","
https://www.savebuzzardsbay.org
"
"
Massachusetts
","
Dartmouth Natural Resources Trust
","
https://dnrt.org
"
"
Massachusetts
","
Groton Conservation Trust
","
https://www.gctrust.org
"
"
Massachusetts
","
Kestrel Land Trust
","
https://www.kestreltrust.org
"
"
Massachusetts
","
Lowell Parks and Conservation Trust
","
https://lowelllandtrust.org
"
"
Massachusetts
","
Massachusetts Audubon Society
","
https://www.massaudubon.org
"
"
Massachusetts
","
Mount Grace Land Conservation Trust
","
https://www.mountgrace.org
"
"
Massachusetts
","
Sheriff’s Meadow Foundation
","
https://sheriffsmeadow.org
"
"
Massachusetts
","
Sudbury Valley Trustees
","
https://www.svtweb.org
"
"
Massachusetts
","
The Trustees of Reservations
","
https://thetrustees.org
"
"
Massachusetts
","
Wareham Land Trust
","
https://warehamlandtrust.org
"
"
Michigan
","
Chikaming Open Lands
","
https://chikamingopenlands.org
"
"
Michigan
","
Chippewa Watershed Conservancy
","
https://www.chippewawatershedconservancy.org
"
"
Michigan
","
Grand Traverse Regional Land Conservancy
","
https://www.gtrlc.org
"
"
Michigan
","
Keweenaw Land Trust
","
https://www.keweenawlandtrust.org
"
"
Michigan
","
Land Conservancy of West Michigan
","
https://naturenearby.org
"
"
Michigan
","
Leelanau Conservancy
","
https://leelanauconservancy.org
"
"
Michigan
","
Legacy Land Conservancy
","
https://legacylandconservancy.org
"
"
Michigan
","
Little Forks Conservancy
","
https://littleforks.org
"
"
Michigan
","
Michigan Nature Association
","
https://michigannature.org
"
"
Michigan
","
North Oakland Headwaters Land Conservancy
","
https://nohlc.org
"
"
Michigan
","
Saginaw Basin Land Conservancy
","
https://www.sblc-mi.org
"
"
Michigan
","
Six Rivers Land Conservancy
","
https://sixriversrlc.org
"
"
Michigan
","
Southwest Michigan Land Conservancy
","
https://swmlc.org
"
"
Michigan
","
Upper Peninsula Land Conservancy
","
https://uplc.org
"
"
Minnesota
","
Minnesota Land Trust
","
https://mnland.org
"
"
Minnesota
","
Northern Waters Land Trust
","
https://northernwaterslandtrust.org
"
"
Mississippi
","
Land Trust for the Mississippi Coastal Plain
","
https://ltmcp.org
"
"
Missouri
","
Ozark Regional Land Trust
","
https://orlt.org
"
"
Montana
","
Bitter Root Land Trust
","
https://www.bitterrootlandtrust.org
"
"
Montana
","
Five Valleys Land Trust
","
https://www.fvlt.org
"
"
Montana
","
Flathead Land Trust
","
https://www.flatheadlandtrust.org
"
"
Montana
","
Gallatin Valley Land Trust
","
https://gvlt.org
"
"
Montana
","
Montana Land Reliance
","
https://mtlandreliance.org
"
"
Montana
","
Prickly Pear Land Trust
","
https://pricklypearlt.org
"
"
Montana
","
Vital Ground Foundation
","
https://www.vitalground.org
"
"
Nebraska
","
Nebraska Land Trust
","
https://nebraskalandtrust.org
"
"
Nevada
","
Nevada Land Trust
","
https://nevadalandtrust.org
"
"
New Hampshire
","
Ammonoosuc Conservation Trust
","
https://www.aconservationtrust.org
"
"
New Hampshire
","
Ausbon Sargent Land Preservation Trust
","
https://www.ausbonsargent.org
"
"
New Hampshire
","
Bear-Paw Regional Greenways
","
https://bear-paw.org
"
"
New Hampshire
","
Five Rivers Conservation Trust
","
https://5rct.org
"
"
New Hampshire
","
Lakes Region Conservation Trust
","
https://lrct.org
"
"
New Hampshire
","
Monadnock Conservancy
","
https://www.monadnockconservancy.org
"
"
New Hampshire
","
Piscataquog Land Conservancy
","
https://plcnh.org
"
"
New Hampshire
","
Society for the Protection of New Hampshire Forests
","
https://forestsociety.org
"
"
New Hampshire
","
Southeast Land Trust of New Hampshire
","
https://seltnh.org
"
"
New Hampshire
","
Squam Lakes Conservation Society
","
https://www.slcs.org
"
"
New Hampshire
","
Upper Saco Valley Land Trust
","
https://www.usvlt.org
"
"
New Hampshire
","
Upper Valley Land Trust
","
https://uvlt.org
"
"
New Jersey
","
D&R Greenway Land Trust
","
https://drgreenway.org
"
"
New Jersey
","
Friends of Hopewell Valley Open Space
","
https://www.fohvos.org
"
"
New Jersey
","
Great Swamp Watershed Association
","
https://www.greatswamp.org
"
"
New Jersey
","
Harding Land Trust
","
https://hardinglandtrust.org
"
"
New Jersey
","
Hunterdon Land Trust
","
https://hunterdonlandtrust.org
"
"
New Jersey
","
Monmouth Conservation Foundation
","
https://www.monmouthconservation.org
"
"
New Jersey
","
New Jersey Conservation Foundation
","
https://www.njconservation.org
"
"
New Jersey
","
Raritan Headwaters Association
","
https://www.raritanheadwaters.org
"
"
New Jersey
","
Ridge and Valley Conservancy
","
https://ridgeandvalleyconservancy.org
"
"
New Jersey
","
South Jersey Land and Water Trust
","
https://sjlandwater.org
"
"
New Jersey
","
The Land Conservancy of New Jersey
","
https://tlc-nj.org
"
"
New Mexico
","
New Mexico Land Conservancy
","
https://nmlandconservancy.org
"
"
New Mexico
","
Rio Grande Agricultural Land Trust
","
https://rgalt.org
"
"
New Mexico
","
Santa Fe Conservation Trust
","
https://sfct.org
"
"
New Mexico
","
Taos Land Trust
","
https://taoslandtrust.org
"
"
New York
","
Adirondack Land Trust
","
https://adirondacklandtrust.org
"
"
New York
","
Agricultural Stewardship Association
","
https://www.agstewardship.org
"
"
New York
","
Catskill Center for Conservation and Development
","
https://catskillcenter.org
"
"
New York
","
Cazenovia Preservation Foundation
","
https://www.cazpreservation.org
"
"
New York
","
Champlain Area Trails
","
https://champlainareatrails.com
"
"
New York
","
Columbia Land Conservancy
","
https://clctrust.org
"
"
New York
","
Dutchess Land Conservancy
","
https://dutchessland.org
"
"
New York
","
Finger Lakes Land Trust
","
https://www.fllt.org
"
"
New York
","
Genesee Land Trust
","
https://www.geneseelandtrust.org
"
"
New York
","
Genesee Valley Conservancy
","
https://www.geneseevalleyconservancy.org
"
"
New York
","
Hudson Highlands Land Trust
","
https://www.hhlt.org
"
"
New York
","
Lake George Land Conservancy
","
https://lglc.org
"
"
New York
","
Mohonk Preserve
","
https://www.mohonkpreserve.org
"
"
New York
","
North Shore Land Alliance
","
https://northshorelandalliance.org
"
"
New York
","
Open Space Institute
","
https://www.openspaceinstitute.org
"
"
New York
","
Orange County Land Trust
","
https://www.oclt.org
"
"
New York
","
Otsego Land Trust
","
https://otsegolandtrust.org
"
"
New York
","
Peconic Land Trust
","
https://peconiclandtrust.org
"
"
New York
","
Putnam County Land Trust
","
https://putnamlandtrust.org
"
"
New York
","
Rensselaer Land Trust
","
https://www.renstrust.org
"
"
New York
","
Rensselaer Plateau Alliance
","
https://rensselaerplateau.org
"
"
New York
","
Saratoga PLAN
","
https://www.saratogaplan.org
"
"
New York
","
Scenic Hudson
","
https://www.scenichudson.org
"
"
New York
","
Thousand Islands Land Trust
","
https://tilandtrust.org
"
"
New York
","
Tug Hill Tomorrow Land Trust
","
https://tughilltomorrowlandtrust.org
"
"
New York
","
Wallkill Valley Land Trust
","
https://wallkillvalleylt.org
"
"
New York
","
Westchester Land Trust
","
https://westchesterlandtrust.org
"
"
New York
","
Western New York Land Conservancy
","
https://wnylc.org
"
"
New York
","
Winnakee Land Trust
","
https://winnakeeland.org
"
"
New York
","
Woodstock Land Conservancy
","
https://woodstocklandconservancy.org
"
"
North Carolina
","
Blue Ridge Conservancy
","
https://blueridgeconservancy.org
"
"
North Carolina
","
Catawba Lands Conservancy
","
https://catawbalands.org
"
"
North Carolina
","
Conservation Trust for North Carolina
","
https://ctnc.org
"
"
North Carolina
","
Conserving Carolina
","
https://conservingcarolina.org
"
"
North Carolina
","
Davidson Lands Conservancy
","
https://www.davidsonlands.org
"
"
North Carolina
","
Eno River Association
","
https://www.enoriver.org
"
"
North Carolina
","
Foothills Conservancy of North Carolina
","
https://foothillsconservancy.org
"
"
North Carolina
","
Highlands-Cashiers Land Trust
","
https://www.hicashlt.org
"
"
North Carolina
","
Mainspring Conservation Trust
","
https://www.mainspringconserves.org
"
"
North Carolina
","
New River Conservancy
","
https://newriverconservancy.org
"
"
North Carolina
","
North Carolina Coastal Land Trust
","
https://www.coastallandtrust.org
"
"
North Carolina
","
Piedmont Land Conservancy
","
https://www.piedmontland.org
"
"
North Carolina
","
RiverLink
","
https://riverlink.org
"
"
North Carolina
","
Southern Appalachian Highlands Conservancy
","
https://appalachian.org
"
"
North Carolina
","
Tar River Land Conservancy
","
https://tarriverlandconservancy.org
"
"
North Carolina
","
The Walthour-Moss Foundation
","
https://walthour-moss.org
"
"
North Carolina
","
Three Rivers Land Trust
","
https://threeriverslandtrust.org
"
"
North Carolina
","
Triangle Land Conservancy
","
https://triangleland.org
"