State	Organization	URL	LogoFile
North Carolina	Catawba Lands Conservancy	https://catawbalands.org	Catawba_Lands_Conservancy_logo.png
North Carolina	Conservation Trust for North Carolina	https://ctnc.org	Conservation_Trust_for_North_Carolina_logo.png
North Carolina	Conserving Carolina	https://conservingcarolina.org	
North Carolina	Davidson Lands Conservancy	https://www.davidsonlands.org	
North Carolina	Eno River Association	https://www.enoriver.org	
North Carolina	Foothills Conservancy of North Carolina	https://foothillsconservancy.org	
North Carolina	Highlands-Cashiers Land Trust	https://www.hicashlt.org	
North Carolina	Mainspring Conservation Trust	https://www.mainspringconserves.org	Mainspring_Conservation_Trust_logo.png
North Carolina	New River Conservancy	https://newriverconservancy.org	
North Carolina	North Carolina Coastal Land Trust	https://www.coastallandtrust.org	
North Carolina	Piedmont Land Conservancy	https://www.piedmontland.org	
North Carolina	RiverLink	https://riverlink.org	
North Carolina	Southern Appalachian Highlands Conservancy	https://appalachian.org	Southern_Appalachian_Highlands_Conservancy_logo.png
North Carolina	Tar River Land Conservancy	https://tarriverlandconservancy.org	
North Carolina	The Walthour-Moss Foundation	https://walthour-moss.org	The_Walthour-Moss_Foundation_logo.png
North Carolina	Three Rivers Land Trust	https://threeriverslandtrust.org	
North Carolina	Three Rivers Land Trust	https://threeriverslandtrust.org	
North Carolina	Triangle Land Conservancy	https://triangleland.org	
Ohio	Black Swamp Conservancy	https://www.blackswamp.org/	Black_Swamp_Conservancy_logo.png
Ohio	Cardinal Land Conservancy	https://cardinallandtrust.org/	
Ohio	Gates Mills Land Conservancy	https://www.gatesmillslandtrust.org/	
Ohio	Licking Land Trust	https://www.lickinglandtrust.org/	Licking_Land_Trust_logo.png
Ohio	Tecumseh Land Trust	https://tecumsehlandtrust.org/	
Ohio	Western Reserve Land Conservancy	https://www.wrlandconservancy.org/	Western_Reserve_Land_Conservancy_logo.png
Oregon	Deschutes Land Trust	https://www.deschuteslandtrust.org/	Deschutes_Land_Trust_logo.svg
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/	Friends_of_the_Columbia_Gorge_Land_Trust_logo.png
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/	Greenbelt_Land_Trust_logo.png
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/	
Oregon	North Coast Land Conservancy	https://nclctrust.org/	
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/	
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/	The_Wetlands_Conservancy_logo.png
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/	Wallowa_Land_Trust_logo.png
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/	Western_Rivers_Conservancy_logo.svg
Oregon	Wild Rivers Land Trust	https://www.wildriverslandtrust.org/	
Pennsylvania	Allegheny Land Trust	https://alleghenylandtrust.org/	Allegheny_Land_Trust_logo.svg
Pennsylvania	Brandywine Conservancy & Museum of Art	https://www.brandywine.org/conservancy	Brandywine_Conservancy_&_Museum_of_Art_logo.jpg
Pennsylvania	Central Pennsylvania Conservancy	https://www.centralpaconservancy.org/	Central_Pennsylvania_Conservancy_logo.svg
Pennsylvania	Chestnut Hill Conservancy	https://chconservancy.org/	Chestnut_Hill_Conservancy_logo.jpg
Pennsylvania	ClearWater Conservancy	https://www.clearwaterconservancy.org/	ClearWater_Conservancy_logo.png
Pennsylvania	Countryside Conservancy	https://countrysideconservancy.org/	Countryside_Conservancy_logo.png
Pennsylvania	Delaware Highlands Conservancy	https://delawarehighlands.org/	Delaware_Highlands_Conservancy_logo.png
Pennsylvania	French Creek Valley Conservancy	https://fcvc.org/	
Pennsylvania	French and Pickering Creeks Conservation Trust	https://frenchandpickering.org/	French_and_Pickering_Creeks_Conservation_Trust_logo.svg
Pennsylvania	Heritage Conservancy	https://heritageconservancy.org/	Heritage_Conservancy_logo.png
Pennsylvania	Hollow Oak Land Trust	https://hollowoak.org/	Hollow_Oak_Land_Trust_logo.png
Pennsylvania	Lancaster Conservancy	https://www.lancasterconservancy.org/	Lancaster_Conservancy_logo.jpg
Pennsylvania	Lancaster Farmland Trust	https://lancasterfarmlandtrust.org/	Lancaster_Farmland_Trust_logo.png
Pennsylvania	Land Conservancy of Adams County	https://www.lcacnet.org/	
Pennsylvania	Land Trust of Bucks County	https://landtrustbuckscounty.org/	Land_Trust_of_Bucks_County_logo.png
Pennsylvania	Natural Lands	https://natlands.org/	Natural_Lands_logo.svg
Pennsylvania	North Branch Land Trust	https://northbranchlandtrust.org/	
Pennsylvania	The Land Conservancy for Southern Chester County	https://tlcforscc.org/	
Pennsylvania	Tinicum Conservancy	https://tinicumconservancy.org/	Tinicum_Conservancy_logo.png
Pennsylvania	Western Pennsylvania Conservancy	https://waterlandlife.org/	
Pennsylvania	Westmoreland Conservancy	https://westmoreland-landtrust.org/	Westmoreland_Conservancy_logo.svg
Pennsylvania	Wildlands Conservancy	https://www.wildlandspa.org/	
Pennsylvania	Willistown Conservation Trust	https://wctrust.org/	
Rhode Island	Aquidneck Land Trust	https://ailt.org/	Aquidneck_Land_Trust_logo.svg
Rhode Island	Block Island Conservancy	https://biconservancy.org/	Block_Island_Conservancy_logo.png
Rhode Island	Block Island Land Trust	https://blockislandlandtrust.org/	
Rhode Island	Conanicut Island Land Trust	https://conanicutlandtrust.org/	Conanicut_Island_Land_Trust_logo.png
Rhode Island	Middletown Valley Land Trust	https://middletownvalleylandtrust.org/	
Rhode Island	Nature Conservancy of Rhode Island	https://www.nature.org/en-us/about-us/where-we-work/united-states/rhode-island/	Nature_Conservancy_of_Rhode_Island_logo.svg
Rhode Island	Sakonnet Preservation Association	https://sakonnetpreservation.org/	
Rhode Island	South Kingstown Land Trust	https://sklt.org/	South_Kingstown_Land_Trust_logo.svg
Rhode Island	Tiverton Land Trust	https://tivertonlandtrust.org/	
South Carolina	Beaufort County Open Land Trust	https://openlandtrust.org/	
South Carolina	Charleston County Land Trust	https://charlestonlandtrust.org/	
South Carolina	Congaree Land Trust	https://congareelt.org/	Congaree_Land_Trust_logo.svg
South Carolina	Lowcountry Land Trust	https://lowcountrylandtrust.org/	
South Carolina	Upstate Forever	https://www.upstateforever.org/	
South Dakota	Northern Prairies Land Trust	https://gfp.sd.gov/northern-prairies-land-trust/	Northern_Prairies_Land_Trust_logo.png
Tennessee	French Broad River Partnership	https://fbriver.org/	
Tennessee	Land Trust for Tennessee	https://www.landtrusttn.org/	
Tennessee	Tennessee Parks and Greenways Foundation	https://tenngreen.org/	Tennessee_Parks_and_Greenways_Foundation_logo.png
Texas	Bayou Land Conservancy	https://bayoulandconservancy.org/	
Texas	Cactus Pine Land Trust	https://cactuspine.org/	
Texas	Hill Country Conservancy	https://hillcountryconservancy.org/	Hill_Country_Conservancy_logo.png
Texas	Texas Agricultural Land Trust	https://www.txaglandtrust.org/	Texas_Agricultural_Land_Trust_logo.png
Texas	Texas Land Conservancy	https://www.texaslandconservancy.org/	Texas_Land_Conservancy_logo.png
Texas	Texas Land Trust Council	https://texaslandtrustcouncil.org/	Texas_Land_Trust_Council_logo.png
Utah	Moab Land Trust	https://moablandtrust.org/	
Utah	Summit Land Conservancy	https://wesaveland.org/	Summit_Land_Conservancy_logo.png
Utah	Wild Utah Project	https://wildutahproject.org/	
Vermont	Catamount Trail Association	https://catamounttrail.org/	
Vermont	Land Trust of Vermont	https://vlt.org/	
Vermont	Mount Holly Conservation Trust	https://mhct.org/	Mount_Holly_Conservation_Trust_logo.svg
Vermont	New England Forestry Foundation Vermont	https://newenglandforestry.org/	
Vermont	Stowe Land Trust	https://www.stowelandtrust.org/	Stowe_Land_Trust_logo.svg
Vermont	Woodstock Land Trust	https://woodstocklandtrust.org/	
Virginia	Blue Ridge Land Conservancy	https://brlcva.org/	
Virginia	Eastern Shore Land Trust	https://eslandtrust.org/	
Virginia	Land Trust of Virginia	https://landtrustva.org/	Land_Trust_of_Virginia_logo.png
Virginia	Piedmont Environmental Council	https://www.pecva.org/	Piedmont_Environmental_Council_logo.png
Virginia	Valley Conservation Council	https://valleyconservation.org/	
Virginia	Virginia Eastern Shore Land Trust	https://eslandtrust.org/	
Washington	Cascade Land Conservancy (Forterra)	https://forterra.org/	
Washington	Columbia Land Trust	https://www.columbialandtrust.org/	
Washington	Jefferson Land Trust	https://saveland.org/	
Washington	North Olympic Land Trust	https://northolympiclandtrust.org/	North_Olympic_Land_Trust_logo.png
Washington	Skagit Land Trust	https://www.skagitlandtrust.org/	Skagit_Land_Trust_logo.png
Washington	Whatcom Land Trust	https://whatcomlandtrust.org/	
Washington	Whidbey Camano Land Trust	https://www.wclt.org/	Whidbey_Camano_Land_Trust_logo.png
West Virginia	Coal River Mountain Watch	https://crmw.net/	Coal_River_Mountain_Watch_logo.png
West Virginia	West Virginia Land Trust	https://wvlandtrust.org/	West_Virginia_Land_Trust_logo.svg
Wisconsin	Driftless Area Land Conservancy	https://driftlessconservancy.org/	Driftless_Area_Land_Conservancy_logo.png
Wisconsin	Gathering Waters	https://gatheringwaters.org/	Gathering_Waters_logo.png
Wisconsin	Glacial Lakes Conservancy	https://www.glaciallakes.org/	Glacial_Lakes_Conservancy_logo.png
Wisconsin	Kettle Moraine Land Trust	https://kmlandtrust.org/	Kettle_Moraine_Land_Trust_logo.jpg
Wisconsin	Landmark Conservancy	https://landmarkwi.org/	Landmark_Conservancy_logo.png
Wisconsin	Mississippi Valley Conservancy	https://mississippivalleyconservancy.org/	Mississippi_Valley_Conservancy_logo.svg
Wisconsin	Northwoods Land Trust	https://northwoodslandtrust.org/	
Wisconsin	Ozaukee Washington Land Trust	https://owlt.org/	Ozaukee_Washington_Land_Trust_logo.png
Wisconsin	Tall Pines Conservancy	https://tallpinesconservancy.org/	
Wisconsin	The Ridges Sanctuary	https://ridgessanctuary.org/	
Wyoming	Jackson Hole Land Trust	https://jhlandtrust.org/	
Wyoming	Johnson County Land Trust	https://johnsoncountylandtrust.org/	
Wyoming	Monteith Ranch Land Trust	https://monteithranchlandtrust.org/	
Wyoming	Rattlesnake Hills Land Trust	https://rattlesnakehillslandtrust.org/	
Wyoming	The Nature Conservancy of Wyoming	https://www.nature.org/en-us/about-us/where-we-work/united-states/wyoming/	The_Nature_Conservancy_of_Wyoming_logo.svg
